AnlyTxHack__ExternalAccountId__c,Amount,CloseDate,AnlyTxHack__Company_Size__c,AnlyTxHack__Industry_Type__c,LeadSource,Name,AnlyTxHack__Opportunity_Source__c,AnlyTxHack__Region__c,StageName,Type,AnlyTxHack__Country__c
0012w00000Lz0VNAAZ,1093390,14-08-2020 00:00,26-200,Travel,Trade Show,Opportunity for Young1496,AE,APAC,Value Proposition,Existing Business,Australia
0012w00000Lz0b4AAB,19640,15-08-2020 00:00,26-200,Consumer Goods,Word of mouth,Opportunity for Malone1500,Alliances,NAM,Closed Lost,New Business / Add-on,Austria
0012w00000Lz0VOAAZ,202174,16-08-2020 00:00,Over 201,Computer Software,Employee Referral,Opportunity for Wise1501,AE,EMEA,Closed Won,New Business / Add-on,Belarus
0012w00000Lz0bPAAR,211050,17-08-2020 00:00,Over 201,Consumer Goods,Word of mouth,Opportunity for McDonald1503,BDR,NAM,Qualification,New Business,Brazil
0012w00000Lz0cnAAB,104940,18-08-2020 00:00,0-25,Human Resource,Word of mouth,Opportunity for Oliver1504,Marketing,NAM,Value Proposition,New Business / Add-on,Belgium
0012w00000Lz0Z4AAJ,4805100,19-08-2020 00:00,Over 201,Human Resource,Seminar - Internal,Opportunity for Norris1506,Alliances,NAM,Closed Lost,New Business,China
0012w00000Lz0dPAAR,3390620,20-08-2020 00:00,Over 201,Computer Software,Advertisement,Opportunity for Hardy1507,AE,EMEA,Closed Won,New Business,United Arab Emirates
0012w00000Lz0cZAAR,17621,21-08-2020 00:00,Over 201,Human Resource,Advertisement,Opportunity for Nguyen1510,AE,NAM,Closed Won,New Business,United States of America
0012w00000Lz0VIAAZ,5023650,23-08-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Bell1517,Marketing,APAC,Closed Won,New Business / Add-on,India
0012w00000Lz0i2AAB,413101,24-08-2020 00:00,26-200,Computer Software,Employee Referral,Opportunity for Rios1882,Alliances,EMEA,Qualification,New Business / Add-on,The United Kingdom
0012w00000Lz0V4AAJ,3428800,25-08-2020 00:00,26-200,Construction,Public Relations,Opportunity for Barker1887,Alliances,APAC,Closed Won,New Business / Add-on,Russia
0012w00000Lz0VOAAZ,41580,26-08-2020 00:00,Over 201,Computer Software,Seminar - Internal,Opportunity for Daniel1888,Marketing,EMEA,Closed Lost,Existing Business,Canada
0012w00000Lz0YyAAJ,1314185,27-08-2020 00:00,Over 201,Manufacturing,Web,Opportunity for Phillips1889,AE,EMEA,Negotiation/Review,New Business / Add-on,Israel
0012w00000Lz0TzAAJ,73903,28-08-2020 00:00,0-25,Human Resource,Employee Referral,Opportunity for Hall1897,Marketing,NAM,Closed Won,New Business,Australia
0012w00000Lz0aVAAR,2177800,29-08-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Lee759,Alliances,NAM,Closed Won,New Business,Austria
0012w00000Lz0fDAAR,640000,30-08-2020 00:00,0-25,Computer Software,Employee Referral,Opportunity for Walters765,Alliances,EMEA,Closed Won,New Business,Belarus
0012w00000Lz0jFAAR,1138360,31-08-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Drake768,BDR,EMEA,Closed Won,Existing Business,Brazil
0012w00000Lz0aMAAR,1935980,01-09-2020 00:00,26-200,Computer Software,Trade Show,Opportunity for Elliott770,Alliances,EMEA,Closed Won,New Business,Belgium
0012w00000Lz0dgAAB,374505,03-09-2020 00:00,0-25,Entertainment,Trade Show,Opportunity for Hoffman774,BDR,LATAM,Closed Won,New Business,China
0012w00000Lz0VVAAZ,917500,04-09-2020 00:00,Over 201,Computer Software,Word of mouth,Opportunity for Waters780,BDR,EMEA,Closed Won,Existing Business,United Arab Emirates
0012w00000Lz0YwAAJ,5423800,05-09-2020 00:00,26-200,Entertainment,Advertisement,Opportunity for Robbins1143,BDR,LATAM,Closed Lost,New Business,United States of America
0012w00000Lz0TvAAJ,1188240,06-09-2020 00:00,Over 201,Computer Software,Employee Referral,Opportunity for Smith1145,AE,EMEA,Needs Analysis,New Business,India
0012w00000Lz0e5AAB,3709600,07-09-2020 00:00,26-200,Computer Software,Word of mouth,Opportunity for Beck1148,BDR,EMEA,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0gvAAB,3207480,08-09-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Santos1154,BDR,APAC,Needs Analysis,New Business,Russia
0012w00000Lz0fUAAR,55530,09-09-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Lewis1160,BDR,LATAM,Closed Lost,New Business / Add-on,Canada
0012w00000Lz0ZAAAZ,196200,10-09-2020 00:00,Over 201,Entertainment,Web,Opportunity for Allen1162,AE,LATAM,Closed Won,Existing Business,Israel
0012w00000Lz0ZmAAJ,2336600,12-09-2020 00:00,26-200,Travel,Employee Referral,Opportunity for Campbell1166,Marketing,APAC,Perception Analysis,New Business / Add-on,Australia
0012w00000Lz0cCAAR,326160,13-09-2020 00:00,Over 201,Consumer Goods,Word of mouth,Opportunity for Gill1167,Marketing,NAM,Closed Won,New Business,Austria
0012w00000Lz0eWAAR,3055100,14-09-2020 00:00,Over 201,Travel,Employee Referral,Opportunity for Gross1521,Marketing,APAC,Closed Lost,New Business / Add-on,Belarus
0012w00000Lz0XwAAJ,2560600,15-09-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Martinez1527,Alliances,NAM,Closed Lost,New Business,Brazil
0012w00000Lz0ZzAAJ,93733,10-09-2020 00:00,0-25,Manufacturing,Web,Opportunity for Wade966,Marketing,EMEA,Closed Lost,New Business,Belgium
0012w00000Lz0ckAAB,66246,11-09-2020 00:00,Over 201,Construction,Partner,Opportunity for Luna1331,Alliances,APAC,Closed Won,New Business,China
0012w00000Lz0YiAAJ,2016250,12-09-2020 00:00,Over 201,Entertainment,Trade Show,Opportunity for Malone1334,BDR,LATAM,Closed Won,New Business / Add-on,United Arab Emirates
0012w00000Lz0ZeAAJ,261400,13-09-2020 00:00,Over 201,Manufacturing,Word of mouth,Opportunity for Sharp1336,AE,EMEA,Proposal/Price Quote,New Business,United States of America
0012w00000Lz0VKAAZ,2101255,14-09-2020 00:00,26-200,Entertainment,Employee Referral,Opportunity for Shaw1337,BDR,LATAM,Closed Won,New Business,India
0012w00000Lz0VoAAJ,460956,15-09-2020 00:00,Over 201,Manufacturing,Web,Opportunity for Guzman1338,BDR,EMEA,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0giAAB,3526355,17-09-2020 00:00,Over 201,Consumer Goods,Partner,Opportunity for Chavez1340,AE,NAM,Qualification,New Business,Russia
0012w00000Lz0YLAAZ,363901,18-09-2020 00:00,0-25,Construction,Partner,Opportunity for Walker1342,Alliances,APAC,Closed Won,New Business,Canada
0012w00000Lz0ZsAAJ,1429760,19-09-2020 00:00,Over 201,Manufacturing,Seminar - Internal,Opportunity for Sanders1345,Alliances,EMEA,Closed Won,Existing Business,Israel
0012w00000Lz0ijAAB,2250950,21-09-2020 00:00,26-200,Construction,Advertisement,Opportunity for Hart1350,Alliances,APAC,Closed Won,New Business,Australia
0012w00000Lz0aGAAR,1214160,22-09-2020 00:00,Over 201,Construction,Trade Show,Opportunity for Johnson1707,AE,APAC,Closed Lost,New Business / Add-on,Austria
0012w00000Lz0flAAB,1489210,23-09-2020 00:00,Over 201,Travel,Partner,Opportunity for Parker1715,AE,APAC,Perception Analysis,New Business / Add-on,Belarus
0012w00000Lz0YbAAJ,3618750,09-01-2020 00:00,Over 201,Entertainment,Partner,Opportunity for Harrison1359,BDR,LATAM,Closed Lost,New Business,Brazil
0012w00000Lz0dTAAR,347730,12-01-2020 00:00,0-25,Human Resource,Employee Referral,Opportunity for Dean1363,BDR,NAM,Value Proposition,New Business / Add-on,Belgium
0012w00000Lz0VvAAJ,3541100,15-01-2020 00:00,0-25,Manufacturing,Partner,Opportunity for Wilkins1372,BDR,EMEA,Needs Analysis,New Business / Add-on,China
0012w00000Lz0enAAB,2649500,16-01-2020 00:00,Over 201,Consumer Goods,Partner,Opportunity for Olson1373,BDR,NAM,Needs Analysis,New Business / Add-on,United Arab Emirates
0012w00000Lz0UKAAZ,932900,17-01-2020 00:00,Over 201,Human Resource,Trade Show,Opportunity for Dennis1374,AE,NAM,Closed Won,Existing Business,United States of America
0012w00000Lz0X0AAJ,25739,18-01-2020 00:00,26-200,Consumer Goods,Seminar - Internal,Opportunity for Buchanan1727,AE,NAM,Closed Won,New Business,India
0012w00000Lz0f8AAB,3463920,19-01-2020 00:00,26-200,Consumer Goods,Employee Referral,Opportunity for White1730,Alliances,NAM,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0fgAAB,112000,20-01-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Griffin1731,AE,APAC,Closed Lost,New Business / Add-on,Russia
0012w00000Lz0Y8AAJ,1994920,21-01-2020 00:00,Over 201,Consumer Goods,Advertisement,Opportunity for Marsh1734,Marketing,NAM,Negotiation/Review,New Business,Canada
0012w00000Lz0gzAAB,455096,22-01-2020 00:00,26-200,Manufacturing,Partner,Opportunity for Arnold1738,Marketing,EMEA,Closed Won,New Business / Add-on,Israel
0012w00000Lz0XAAAZ,309686,23-01-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Meyer1740,AE,EMEA,Closed Won,Existing Business,Australia
0012w00000Lz0e4AAB,257045,24-01-2020 00:00,0-25,Travel,Employee Referral,Opportunity for Phillips1742,AE,APAC,Closed Lost,New Business / Add-on,Austria
0012w00000Lz0jKAAR,1337090,25-01-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Smith1744,BDR,LATAM,Closed Won,New Business,Belarus
0012w00000Lz0eSAAR,1580935,26-01-2020 00:00,0-25,Consumer Goods,Trade Show,Opportunity for Rhodes1746,AE,NAM,Qualification,New Business,Brazil
0012w00000Lz0cUAAR,535160,27-01-2020 00:00,26-200,Travel,Partner,Opportunity for Todd1747,Marketing,APAC,Closed Lost,New Business,Belgium
0012w00000Lz0fHAAR,918500,28-01-2020 00:00,Over 201,Human Resource,Partner,Opportunity for Jackson611,BDR,NAM,Perception Analysis,Existing Business,China
0012w00000Lz0YZAAZ,2378700,29-01-2020 00:00,Over 201,Construction,Web,Opportunity for Keller612,AE,APAC,Closed Lost,Existing Business,United Arab Emirates
0012w00000Lz0c9AAB,73600,30-01-2020 00:00,26-200,Travel,Employee Referral,Opportunity for Osborne613,BDR,APAC,Closed Won,New Business,United States of America
0012w00000Lz0XjAAJ,765600,31-01-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Valdez617,BDR,EMEA,Closed Lost,New Business,India
0012w00000Lz0dtAAB,834280,01-02-2020 00:00,26-200,Consumer Goods,Public Relations,Opportunity for Weber619,AE,NAM,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0VWAAZ,273090,02-02-2020 00:00,26-200,Construction,Word of mouth,Opportunity for West620,Marketing,APAC,Closed Won,Existing Business,Russia
0012w00000Lz0ZeAAJ,3474950,03-02-2020 00:00,Over 201,Manufacturing,Seminar - Internal,Opportunity for Jackson625,AE,EMEA,Closed Won,Existing Business,Canada
0012w00000Lz0jGAAR,2151600,04-02-2020 00:00,26-200,Travel,Partner,Opportunity for Daniels627,AE,APAC,Closed Won,New Business / Add-on,Israel
0012w00000Lz0U7AAJ,1948800,05-02-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Robinson994,Marketing,EMEA,Closed Won,New Business,Australia
0012w00000Lz0eLAAR,2880800,08-02-2020 00:00,0-25,Consumer Goods,Employee Referral,Opportunity for Chavez1002,AE,NAM,Closed Won,New Business,Russia
0012w00000Lz0agAAB,775200,09-02-2020 00:00,26-200,Travel,Public Relations,Opportunity for Walsh1003,AE,APAC,Closed Won,New Business,Canada
0012w00000Lz0U6AAJ,355680,10-02-2020 00:00,26-200,Human Resource,Trade Show,Opportunity for Vasquez1005,Marketing,NAM,Qualification,New Business,Israel
0012w00000Lz0WLAAZ,330090,11-02-2020 00:00,26-200,Entertainment,Advertisement,Opportunity for Holmes1012,Alliances,LATAM,Closed Lost,New Business,Australia
0012w00000Lz0ULAAZ,269400,12-02-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Richardson1013,Marketing,EMEA,Closed Won,Existing Business,Austria
0012w00000Lz0WRAAZ,1348890,13-02-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Floyd1015,AE,NAM,Qualification,New Business,Belarus
0012w00000Lz0U6AAJ,401291,15-02-2020 00:00,26-200,Human Resource,Trade Show,Opportunity for Collier1376,BDR,NAM,Closed Won,New Business,Brazil
0012w00000Lz0axAAB,1590600,16-02-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for Bridges1377,Alliances,NAM,Closed Won,New Business,Belgium
0012w00000Lz0a0AAB,89230,17-02-2020 00:00,0-25,Travel,Partner,Opportunity for Elliott1378,Marketing,APAC,Prospecting,New Business,China
0012w00000Lz0fkAAB,794270,18-02-2020 00:00,Over 201,Manufacturing,Advertisement,Opportunity for Ray1381,AE,EMEA,Closed Won,New Business / Add-on,United Arab Emirates
0012w00000Lz0VfAAJ,3164200,19-02-2020 00:00,Over 201,Entertainment,Public Relations,Opportunity for Ryan1382,Marketing,LATAM,Closed Lost,New Business / Add-on,United States of America
0012w00000Lz0fgAAB,908360,20-02-2020 00:00,Over 201,Construction,Partner,Opportunity for Washington1383,AE,APAC,Closed Won,New Business / Add-on,India
0012w00000Lz0aYAAR,208600,22-02-2020 00:00,26-200,Manufacturing,Word of mouth,Opportunity for Simpson1385,AE,EMEA,Closed Won,New Business,The United Kingdom
0012w00000Lz0e4AAB,374162,23-02-2020 00:00,0-25,Travel,Seminar - Internal,Opportunity for Newman1387,Marketing,APAC,Closed Lost,Existing Business,Russia
0012w00000Lz0U5AAJ,392207,24-02-2020 00:00,0-25,Entertainment,Web,Opportunity for Boone1390,Marketing,LATAM,Qualification,New Business,Canada
0012w00000Lz0ZVAAZ,2451210,25-02-2020 00:00,0-25,Entertainment,Employee Referral,Opportunity for Herrera1391,Marketing,LATAM,Closed Won,New Business / Add-on,Israel
0012w00000Lz0jLAAR,308865,27-02-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Maldonado1393,Marketing,NAM,Closed Lost,New Business,Australia
0012w00000Lz0ZxAAJ,196890,28-02-2020 00:00,Over 201,Entertainment,Employee Referral,Opportunity for Robinson1397,Marketing,LATAM,Closed Won,New Business,Austria
0012w00000Lz0WjAAJ,739550,29-02-2020 00:00,26-200,Travel,Word of mouth,Opportunity for Salazar1398,AE,APAC,Closed Won,New Business / Add-on,Belarus
0012w00000Lz0hkAAB,33600,01-03-2020 00:00,0-25,Entertainment,Trade Show,Opportunity for Kelly1755,AE,LATAM,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0Z0AAJ,197075,03-03-2020 00:00,26-200,Computer Software,Partner,Opportunity for McGee1757,BDR,EMEA,Closed Won,New Business / Add-on,Belgium
0012w00000Lz0fmAAB,76532,04-03-2020 00:00,26-200,Computer Software,Partner,Opportunity for Nguyen1759,Alliances,EMEA,Closed Lost,New Business / Add-on,China
0012w00000Lz0WCAAZ,360800,05-03-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Luna1760,AE,APAC,Proposal/Price Quote,New Business / Add-on,United Arab Emirates
0012w00000Lz0jiAAB,1324800,06-03-2020 00:00,Over 201,Travel,Partner,Opportunity for Sanders1761,BDR,APAC,Closed Lost,New Business,United States of America
0012w00000Lz0iLAAR,89400,07-03-2020 00:00,26-200,Manufacturing,Public Relations,Opportunity for Zimmerman1763,AE,EMEA,Closed Won,New Business,India
0012w00000Lz0aRAAR,1049880,08-03-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Barton1764,BDR,EMEA,Qualification,New Business,The United Kingdom
0012w00000Lz0YnAAJ,4747520,09-03-2020 00:00,Over 201,Construction,Public Relations,Opportunity for Ramirez1767,AE,APAC,Qualification,New Business,Russia
0012w00000Lz0jlAAB,3440,11-03-2020 00:00,0-25,Consumer Goods,Partner,Opportunity for Perez1775,Marketing,NAM,Closed Won,New Business,Canada
0012w00000Lz0chAAB,1386250,12-03-2020 00:00,0-25,Manufacturing,Word of mouth,Opportunity for Abbott636,AE,EMEA,Closed Won,New Business,Israel
0012w00000Lz0jmAAB,499928,16-03-2020 00:00,26-200,Entertainment,Seminar - Internal,Opportunity for Figueroa642,AE,LATAM,Closed Won,New Business,Australia
0012w00000Lz0ZKAAZ,376955,17-03-2020 00:00,26-200,Travel,Seminar - Internal,Opportunity for Jensen643,AE,APAC,Closed Won,New Business,Austria
0012w00000Lz0UsAAJ,701400,18-03-2020 00:00,26-200,Entertainment,Advertisement,Opportunity for Frazier644,Marketing,LATAM,Needs Analysis,New Business / Add-on,Belarus
0012w00000Lz0hdAAB,898800,19-03-2020 00:00,0-25,Entertainment,Employee Referral,Opportunity for Barrett645,Alliances,LATAM,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0bjAAB,1528750,20-03-2020 00:00,0-25,Construction,Trade Show,Opportunity for Bowen646,BDR,APAC,Qualification,New Business,Belgium
0012w00000Lz0UbAAJ,2221650,21-03-2020 00:00,26-200,Computer Software,Trade Show,Opportunity for Ruiz650,Marketing,EMEA,Closed Lost,New Business / Add-on,China
0012w00000Lz0jHAAR,1158700,22-03-2020 00:00,0-25,Computer Software,Public Relations,Opportunity for Blair652,AE,EMEA,Needs Analysis,New Business / Add-on,United Arab Emirates
0012w00000Lz0fyAAB,209640,23-03-2020 00:00,26-200,Manufacturing,Word of mouth,Opportunity for Norman655,Marketing,EMEA,Closed Won,New Business / Add-on,United States of America
0012w00000Lz0WEAAZ,965425,24-03-2020 00:00,26-200,Entertainment,Trade Show,Opportunity for Bridges657,AE,LATAM,Closed Won,New Business,India
0012w00000Lz0aBAAR,809000,25-03-2020 00:00,0-25,Entertainment,Partner,Opportunity for Willis1022,BDR,LATAM,Closed Won,Existing Business,The United Kingdom
0012w00000Lz0U1AAJ,1314400,26-03-2020 00:00,26-200,Travel,Partner,Opportunity for Santiago1026,BDR,APAC,Qualification,New Business / Add-on,Russia
0012w00000Lz0XgAAJ,296805,27-03-2020 00:00,0-25,Consumer Goods,Employee Referral,Opportunity for Walton1035,AE,NAM,Closed Won,New Business,Canada
0012w00000Lz0gsAAB,2288250,28-03-2020 00:00,26-200,Manufacturing,Trade Show,Opportunity for Mendez1036,Marketing,EMEA,Closed Won,New Business / Add-on,Israel
0012w00000Lz0WpAAJ,128265,31-03-2020 00:00,Over 201,Manufacturing,Partner,Opportunity for Houston1041,BDR,EMEA,Closed Won,New Business,Australia
0012w00000Lz0e7AAB,79550,01-04-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Jackson1400,Marketing,NAM,Closed Won,New Business,Austria
0012w00000Lz0aBAAR,3513380,02-04-2020 00:00,0-25,Entertainment,Trade Show,Opportunity for Gutierrez1402,BDR,LATAM,Closed Won,New Business / Add-on,Belarus
0012w00000Lz0i6AAB,644000,05-04-2020 00:00,26-200,Human Resource,Seminar - Internal,Opportunity for Graves1407,Marketing,NAM,Qualification,New Business,Brazil
0012w00000Lz0aCAAR,1423890,07-04-2020 00:00,0-25,Human Resource,Employee Referral,Opportunity for Perez1411,AE,NAM,Closed Lost,New Business,Belgium
0012w00000Lz0czAAB,2183750,08-04-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for Martin1417,BDR,NAM,Closed Lost,New Business,China
0012w00000Lz0d0AAB,3712300,10-04-2020 00:00,26-200,Entertainment,Web,Opportunity for Hines1779,BDR,LATAM,Closed Won,Existing Business,United Arab Emirates
0012w00000Lz0UuAAJ,18900,11-04-2020 00:00,Over 201,Manufacturing,Web,Opportunity for Morrison1784,BDR,EMEA,Closed Won,New Business / Add-on,United States of America
0012w00000Lz0ZGAAZ,424600,14-04-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Guzman1793,Marketing,NAM,Closed Won,New Business / Add-on,India
0012w00000Lz0WIAAZ,1488450,15-04-2020 00:00,26-200,Computer Software,Public Relations,Opportunity for Watson1794,Alliances,EMEA,Needs Analysis,New Business / Add-on,The United Kingdom
0012w00000Lz0ixAAB,136800,16-04-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Massey1797,AE,APAC,Qualification,New Business / Add-on,Russia
0012w00000Lz0apAAB,991350,17-04-2020 00:00,Over 201,Construction,Web,Opportunity for Nelson1799,AE,APAC,Qualification,Existing Business,Canada
0012w00000Lz0fLAAR,1683185,18-04-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Pena1800,Marketing,APAC,Closed Won,New Business,Israel
0012w00000Lz0aDAAR,875880,19-04-2020 00:00,26-200,Manufacturing,Employee Referral,Opportunity for Pittman658,Marketing,EMEA,Closed Won,Existing Business,Australia
0012w00000Lz0U3AAJ,25450,22-04-2020 00:00,Over 201,Construction,Employee Referral,Opportunity for Luna668,AE,APAC,Proposal/Price Quote,New Business / Add-on,Austria
0012w00000Lz0gVAAR,736250,23-04-2020 00:00,Over 201,Entertainment,Employee Referral,Opportunity for Stevenson670,AE,LATAM,Closed Won,New Business,Belarus
0012w00000Lz0e7AAB,3251640,24-04-2020 00:00,Over 201,Consumer Goods,Web,Opportunity for Ramirez671,BDR,NAM,Closed Won,Existing Business,Brazil
0012w00000Lz0hKAAR,2728890,25-04-2020 00:00,26-200,Manufacturing,Employee Referral,Opportunity for Brown672,AE,EMEA,Value Proposition,Existing Business,Belgium
0012w00000Lz0eKAAR,430330,26-04-2020 00:00,Over 201,Construction,Web,Opportunity for Barton675,Marketing,APAC,Closed Lost,New Business / Add-on,China
0012w00000Lz0bQAAR,2684465,27-04-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Duncan681,Alliances,LATAM,Closed Won,New Business,United Arab Emirates
0012w00000Lz0i3AAB,105210,28-04-2020 00:00,Over 201,Construction,Trade Show,Opportunity for Manning1045,Marketing,APAC,Closed Won,New Business / Add-on,United States of America
0012w00000Lz0VBAAZ,63600,29-04-2020 00:00,26-200,Construction,Web,Opportunity for Colon1047,BDR,APAC,Closed Won,New Business / Add-on,India
0012w00000Lz0jhAAB,680,01-05-2020 00:00,26-200,Manufacturing,Partner,Opportunity for Vega1066,Alliances,EMEA,Value Proposition,New Business / Add-on,The United Kingdom
0012w00000Lz0YNAAZ,201572,03-05-2020 00:00,Over 201,Entertainment,Trade Show,Opportunity for Love1426,Alliances,LATAM,Perception Analysis,New Business,Russia
0012w00000Lz0izAAB,386375,04-05-2020 00:00,0-25,Entertainment,Trade Show,Opportunity for Flowers1427,BDR,LATAM,Closed Won,New Business / Add-on,Canada
0012w00000Lz0avAAB,2649820,05-05-2020 00:00,Over 201,Computer Software,Partner,Opportunity for Hoffman1430,AE,EMEA,Closed Lost,Existing Business,Israel
0012w00000Lz0ZrAAJ,1979000,06-05-2020 00:00,Over 201,Human Resource,Trade Show,Opportunity for Keller1431,Alliances,NAM,Needs Analysis,New Business,Australia
0012w00000Lz0dMAAR,1183700,07-05-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Allison1432,AE,NAM,Closed Won,New Business,Austria
0012w00000Lz0W5AAJ,2894390,08-05-2020 00:00,Over 201,Construction,Web,Opportunity for Dixon1438,Alliances,APAC,Needs Analysis,New Business,Belarus
0012w00000Lz0WBAAZ,1471800,09-05-2020 00:00,Over 201,Computer Software,Partner,Opportunity for Chandler1439,Marketing,EMEA,Closed Lost,Existing Business,Brazil
0012w00000Lz0fTAAR,209955,10-05-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for Conner1442,AE,NAM,Closed Won,Existing Business,Belgium
0012w00000Lz0YFAAZ,1648300,11-05-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for Berry1447,Marketing,NAM,Needs Analysis,New Business,China
0012w00000Lz0YvAAJ,449660,12-05-2020 00:00,0-25,Consumer Goods,Web,Opportunity for Neal1804,AE,NAM,Closed Lost,New Business / Add-on,United Arab Emirates
0012w00000Lz0YVAAZ,470298,13-05-2020 00:00,Over 201,Human Resource,Partner,Opportunity for Marsh1806,Marketing,NAM,Closed Won,New Business / Add-on,United States of America
0012w00000Lz0YhAAJ,1046380,14-05-2020 00:00,Over 201,Consumer Goods,Word of mouth,Opportunity for Carlson1808,Marketing,NAM,Closed Lost,New Business,India
0012w00000Lz0WfAAJ,58840,15-05-2020 00:00,Over 201,Consumer Goods,Word of mouth,Opportunity for Fleming1809,BDR,NAM,Closed Won,New Business,The United Kingdom
0012w00000Lz0duAAB,3077200,17-05-2020 00:00,Over 201,Entertainment,Public Relations,Opportunity for Daniel1811,AE,LATAM,Closed Won,Existing Business,Russia
0012w00000Lz0g9AAB,284678,18-05-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for Chandler1816,BDR,NAM,Closed Lost,New Business,Canada
0012w00000Lz0XbAAJ,207240,19-05-2020 00:00,Over 201,Human Resource,Partner,Opportunity for Hicks1818,Marketing,NAM,Closed Won,New Business / Add-on,Israel
0012w00000Lz0iHAAR,470865,20-05-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Moss1820,Marketing,APAC,Perception Analysis,New Business,Australia
0012w00000Lz0gCAAR,32400,23-05-2020 00:00,0-25,Manufacturing,Word of mouth,Opportunity for McDonald13,Alliances,EMEA,Closed Won,New Business / Add-on,Austria
0012w00000Lz0gkAAB,240747,24-05-2020 00:00,26-200,Human Resource,Trade Show,Opportunity for Jefferson17,AE,NAM,Closed Won,New Business / Add-on,Belarus
0012w00000Lz0YFAAZ,21640,25-05-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for McLaughlin130,Marketing,NAM,Negotiation/Review,Existing Business,Brazil
0012w00000Lz0cCAAR,1249000,26-05-2020 00:00,Over 201,Consumer Goods,Trade Show,Opportunity for Chandler133,Marketing,NAM,Perception Analysis,New Business,Belgium
0012w00000Lz0arAAB,754640,27-05-2020 00:00,0-25,Entertainment,Word of mouth,Opportunity for Rice134,AE,LATAM,Closed Won,New Business,China
0012w00000Lz0XaAAJ,363400,29-05-2020 00:00,26-200,Entertainment,Public Relations,Opportunity for Edwards146,BDR,LATAM,Perception Analysis,New Business,Austria
0012w00000Lz0htAAB,4212140,30-05-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Williams149,Marketing,EMEA,Needs Analysis,New Business,Belarus
0012w00000Lz0VnAAJ,2305550,31-05-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Wagner150,BDR,NAM,Closed Lost,Existing Business,Brazil
0012w00000Lz0hyAAB,2660660,01-06-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Lewis258,AE,LATAM,Closed Won,New Business / Add-on,Belgium
0012w00000Lz0feAAB,309938,02-06-2020 00:00,Over 201,Travel,Public Relations,Opportunity for Barrett259,Marketing,APAC,Closed Lost,New Business,China
0012w00000Lz0YfAAJ,1589440,03-06-2020 00:00,26-200,Computer Software,Public Relations,Opportunity for Dennis260,AE,EMEA,Needs Analysis,Existing Business,United Arab Emirates
0012w00000Lz0ipAAB,1879190,05-06-2020 00:00,Over 201,Computer Software,Word of mouth,Opportunity for Holmes265,Marketing,EMEA,Prospecting,New Business,United States of America
0012w00000Lz0dQAAR,206640,06-06-2020 00:00,Over 201,Construction,Advertisement,Opportunity for Murphy267,Marketing,APAC,Closed Won,Existing Business,India
0012w00000Lz0WiAAJ,2664105,07-06-2020 00:00,0-25,Manufacturing,Web,Opportunity for Freeman268,Marketing,EMEA,Closed Won,New Business,The United Kingdom
0012w00000Lz0ZUAAZ,846000,09-06-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for Butler275,AE,NAM,Closed Won,New Business,Russia
0012w00000Lz0U0AAJ,179225,10-06-2020 00:00,0-25,Manufacturing,Partner,Opportunity for Collier276,Marketing,EMEA,Closed Won,New Business / Add-on,Canada
