AnlyTxHack__ExternalAccountId__c,AMOUNT,CLOSEDATE,AnlyTxHack__Company_Size__c,AnlyTxHack__Country__c,AnlyTxHack__Industry_Type__c,LEADSOURCE,NAME,STAGENAME,TYPE
0012w00000LRfjMAAT,2155875,2020-02-28,Over 201,China,Construction,Web,Opportunity for Barnes1852,Closed Lost,New Business
0012w00000LRfoJAAT,1199240,2020-02-28,0-25,United States of America,Computer Software,Advertisement,Opportunity for Sanders1392,Closed Won,New Business / Add-on
0012w00000LRfhGAAT,196890,2020-02-28,Over 201,Austria,Entertainment,Employee Referral,Opportunity for Robinson1397,Closed Lost,New Business
0012w00000LRfreAAD,5166200,2020-02-29,Over 201,Australia,Manufacturing,Public Relations,Opportunity for Cross303,Closed Won,New Business
0012w00000LRfjFAAT,127600,2020-02-29,0-25,United Arab Emirates,Consumer Goods,Seminar - Internal,Opportunity for Jackson1662,Closed Won,New Business
0012w00000LRfn9AAD,609938,2020-02-29,Over 201,Belgium,Computer Software,Trade Show,Opportunity for Owens1201,Qualification,New Business
0012w00000LRfqlAAD,739550,2020-02-29,26-200,Belarus,Travel,Word of mouth,Opportunity for Salazar1398,Closed Won,New Business / Add-on
0012w00000LRftfAAD,3626550,2020-02-29,0-25,United Arab Emirates,Travel,Employee Referral,Opportunity for Johnston1857,Closed Lost,New Business / Add-on
0012w00000LRfjOAAT,2664105,2020-02-29,0-25,The United Kingdom,Entertainment,Advertisement,Opportunity for Wagner1214,Closed Lost,New Business / Add-on
0012w00000LRfiFAAT,390400,2020-02-29,0-25,The United Kingdom,Health Care,Employee Referral,Opportunity for Yates1567,Closed Won,New Business
0012w00000LRfsHAAT,1224345,2020-02-29,26-200,The United Kingdom,Health Care,Employee Referral,Opportunity for McBride299,Closed Won,New Business
0012w00000LRfijAAD,578880,2020-03-01,Over 201,Russia,Entertainment,Web,Opportunity for Curtis1571,Perception Analysis,New Business
0012w00000LRfrIAAT,171660,2020-03-01,26-200,United States of America,Travel,Advertisement,Opportunity for Henry1665,Closed Won,New Business / Add-on
0012w00000LRfgfAAD,1518190,2020-03-01,0-25,Russia,Construction,Web,Opportunity for Thomas1215,Closed Won,New Business / Add-on
0012w00000LRfgtAAD,11572,2020-03-01,0-25,Belgium,Travel,Public Relations,Opportunity for Miller300,Negotiation/Review,New Business
0012w00000LRfsxAAD,789160,2020-03-01,26-200,Austria,Entertainment,Word of mouth,Opportunity for Figueroa377,Closed Lost,New Business / Add-on
0012w00000LRfnNAAT,33600,2020-03-01,0-25,Brazil,Entertainment,Trade Show,Opportunity for Kelly1755,Closed Lost,New Business / Add-on
0012w00000LRfgiAAD,148440,2020-03-01,Over 201,Brazil,Health Care,Word of mouth,Opportunity for Smith1859,Prospecting,New Business
0012w00000LRfquAAD,2165900,2020-03-02,0-25,Canada,Construction,Public Relations,Opportunity for Clark1572,Closed Lost,Existing Business
0012w00000LRfreAAD,386375,2020-03-02,Over 201,Russia,Manufacturing,Public Relations,Opportunity for Cross303,Closed Won,New Business
0012w00000LRfl9AAD,206587,2020-03-02,26-200,United States of America,Entertainment,Word of mouth,Opportunity for Thornton1860,Closed Lost,Existing Business
0012w00000LRftFAAT,555200,2020-03-02,26-200,Brazil,Travel,Word of mouth,Opportunity for Buchanan1756,Closed Lost,New Business
0012w00000LRfkTAAT,421000,2020-03-02,26-200,United Arab Emirates,Travel,Employee Referral,Opportunity for Barton1670,Closed Lost,New Business / Add-on
0012w00000LRfiFAAT,846000,2020-03-02,0-25,Belgium,Health Care,Employee Referral,Opportunity for Yates1567,Closed Won,New Business
0012w00000LRfrNAAT,51480,2020-03-02,Over 201,Belarus,Health Care,Employee Referral,Opportunity for Collins378,Closed Won,New Business
0012w00000LRfsiAAD,2022400,2020-03-03,Over 201,Belarus,Consumer Goods,Employee Referral,Opportunity for May386,Closed Won,New Business
0012w00000LRfgWAAT,200400,2020-03-03,0-25,Israel,Construction,Public Relations,Opportunity for Williamson1573,Closed Won,New Business / Add-on
0012w00000LRfgqAAD,1052275,2020-03-03,Over 201,India,Entertainment,Employee Referral,Opportunity for Ramsey1673,Needs Analysis,New Business
0012w00000LRfijAAD,179225,2020-03-03,Over 201,Canada,Entertainment,Web,Opportunity for Curtis1571,Perception Analysis,New Business
0012w00000LRfg8AAD,197075,2020-03-03,26-200,Belgium,Computer Software,Partner,Opportunity for McGee1757,Closed Won,New Business / Add-on
0012w00000LRftoAAD,2103270,2020-03-03,Over 201,India,Construction,Trade Show,Opportunity for Ramsey1863,Closed Won,New Business
0012w00000LRfsxAAD,2649820,2020-03-03,26-200,Canada,Entertainment,Word of mouth,Opportunity for Figueroa377,Closed Lost,New Business / Add-on
0012w00000LRfrwAAD,645700,2020-03-04,26-200,The United Kingdom,Construction,Seminar - Internal,Opportunity for Taylor1674,Qualification,New Business
0012w00000LRfquAAD,22240,2020-03-04,0-25,Israel,Construction,Public Relations,Opportunity for Clark1572,Closed Lost,Existing Business
0012w00000LRfhpAAD,76532,2020-03-04,26-200,China,Computer Software,Partner,Opportunity for Nguyen1759,Closed Lost,New Business / Add-on
0012w00000LRft8AAD,89320,2020-03-04,Over 201,Austria,Travel,Seminar - Internal,Opportunity for Sims1582,Closed Lost,New Business
0012w00000LRfjrAAD,2166890,2020-03-04,0-25,The United Kingdom,Consumer Goods,Public Relations,Opportunity for Mathis1864,Closed Lost,New Business
0012w00000LRfmGAAT,2124300,2020-03-04,Over 201,Brazil,Entertainment,Word of mouth,Opportunity for Hart387,Closed Lost,New Business / Add-on
0012w00000LRfrNAAT,1979000,2020-03-04,Over 201,Austria,Health Care,Employee Referral,Opportunity for Collins378,Closed Won,New Business
0012w00000LRftaAAD,905000,2020-03-05,26-200,Russia,Construction,Web,Opportunity for Johnston1675,Closed Won,New Business / Add-on
0012w00000LRfgWAAT,62400,2020-03-05,0-25,Australia,Construction,Public Relations,Opportunity for Williamson1573,Closed Won,New Business / Add-on
0012w00000LRfsiAAD,1183700,2020-03-05,Over 201,Israel,Consumer Goods,Employee Referral,Opportunity for May386,Closed Won,New Business
0012w00000LRfpRAAT,360800,2020-03-05,Over 201,United Arab Emirates,Construction,Employee Referral,Opportunity for Luna1760,Proposal/Price Quote,New Business / Add-on
0012w00000LRfkVAAT,1405500,2020-03-05,0-25,Belgium,Entertainment,Partner,Opportunity for Perry395,Needs Analysis,New Business
0012w00000LRfkBAAT,1301060,2020-03-05,Over 201,Russia,Entertainment,Partner,Opportunity for Price1866,Closed Lost,New Business
0012w00000LRfo9AAD,1292300,2020-03-05,26-200,Australia,Health Care,Partner,Opportunity for Campbell1583,Closed Won,New Business
0012w00000LRfgEAAT,329425,2020-03-06,Over 201,China,Manufacturing,Advertisement,Opportunity for Nunez399,Closed Won,New Business / Add-on
0012w00000LRfgWAAT,72720,2020-03-06,0-25,Austria,Construction,Partner,Opportunity for Lamb1584,Closed Won,Existing Business
0012w00000LRfhpAAD,1598060,2020-03-06,26-200,Canada,Computer Software,Advertisement,Opportunity for Clayton1676,Value Proposition,New Business
0012w00000LRft8AAD,657600,2020-03-06,Over 201,United States of America,Travel,Seminar - Internal,Opportunity for Sims1582,Closed Lost,New Business
0012w00000LRfsXAAT,1324800,2020-03-06,Over 201,United States of America,Travel,Partner,Opportunity for Sanders1761,Closed Lost,New Business
0012w00000LRfpKAAT,316040,2020-03-06,26-200,Canada,Construction,Word of mouth,Opportunity for Moore1870,Perception Analysis,New Business / Add-on
0012w00000LRfmGAAT,2894390,2020-03-06,Over 201,Australia,Entertainment,Word of mouth,Opportunity for Hart387,Closed Lost,New Business / Add-on
0012w00000LRflwAAD,163110,2020-03-07,Over 201,Belarus,Travel,Advertisement,Opportunity for Bates1952,Closed Lost,New Business
0012w00000LRft3AAD,114000,2020-03-07,26-200,Israel,Construction,Word of mouth,Opportunity for Chavez552,Closed Won,New Business
0012w00000LRfkVAAT,1471800,2020-03-07,0-25,Austria,Construction,Partner,Opportunity for Perry395,Needs Analysis,New Business
0012w00000LRfp3AAD,89400,2020-03-07,26-200,India,Manufacturing,Public Relations,Opportunity for Zimmerman1763,Closed Won,New Business
0012w00000LRfgkAAD,50890,2020-03-07,0-25,China,Travel,Employee Referral,Opportunity for Foster1871,Closed Lost,New Business
0012w00000LRfs3AAD,412385,2020-03-07,Over 201,United Arab Emirates,Entertainment,Partner,Opportunity for Goodwin400,Qualification,New Business / Add-on
0012w00000LRfo9AAD,637520,2020-03-07,26-200,Austria,Health Care,Partner,Opportunity for Campbell1583,Closed Won,New Business
0012w00000LRfv7AAD,735870,2020-03-08,Over 201,Brazil,Manufacturing,Seminar - Internal,Opportunity for Webster1954,Prospecting,New Business
0012w00000LRfjmAAD,449700,2020-03-08,Over 201,United States of America,Entertainment,Trade Show,Opportunity for Diaz177,Needs Analysis,New Business
0012w00000LRfvOAAT,3609320,2020-03-08,Over 201,Australia,Construction,Word of mouth,Opportunity for Perry553,Closed Won,New Business
0012w00000LRfgWAAT,690210,2020-03-08,0-25,Belarus,Construction,Partner,Opportunity for Lamb1584,Closed Won,Existing Business
0012w00000LRfgEAAT,209955,2020-03-08,Over 201,Belarus,Manufacturing,Advertisement,Opportunity for Nunez399,Closed Won,New Business / Add-on
0012w00000LRfiXAAT,1049880,2020-03-08,Over 201,The United Kingdom,Manufacturing,Partner,Opportunity for Barton1764,Qualification,New Business
0012w00000LRfoLAAT,25095,2020-03-08,26-200,Israel,Consumer Goods,Web,Opportunity for McDaniel1873,Closed Won,New Business
0012w00000LRfk0AAD,482025,2020-03-09,Over 201,Belgium,Consumer Goods,Public Relations,Opportunity for Harper1957,Value Proposition,New Business
0012w00000LRfiKAAT,39960,2020-03-09,Over 201,India,Consumer Goods,Word of mouth,Opportunity for Shaw178,Negotiation/Review,New Business
0012w00000LRfiQAAT,491550,2020-03-09,Over 201,Austria,Manufacturing,Partner,Opportunity for Stokes556,Closed Won,New Business
0012w00000LRflwAAD,136464,2020-03-09,Over 201,Brazil,Travel,Advertisement,Opportunity for Bates1952,Closed Lost,New Business
0012w00000LRfs3AAD,1648300,2020-03-09,Over 201,Brazil,Construction,Partner,Opportunity for Goodwin400,Closed Won,New Business / Add-on
0012w00000LRfvOAAT,4747520,2020-03-09,Over 201,Russia,Construction,Public Relations,Opportunity for Ramirez1767,Qualification,New Business
0012w00000LRfsZAAT,60760,2020-03-09,Over 201,Australia,Construction,Trade Show,Opportunity for Gibbs1874,Closed Lost,New Business / Add-on
0012w00000LRfpbAAD,1438500,2020-03-10,0-25,China,Consumer Goods,Web,Opportunity for Stone1959,Closed Won,New Business / Add-on
0012w00000LRftzAAD,552000,2020-03-10,Over 201,The United Kingdom,Entertainment,Word of mouth,Opportunity for Lambert182,Needs Analysis,New Business / Add-on
0012w00000LRfpyAAD,24536,2020-03-10,26-200,Belarus,Consumer Goods,Seminar - Internal,Opportunity for Franklin560,Closed Won,New Business / Add-on
0012w00000LRfv7AAD,744440,2020-03-10,Over 201,Belgium,Manufacturing,Seminar - Internal,Opportunity for Webster1954,Prospecting,New Business
0012w00000LRflwAAD,19120,2020-03-10,Over 201,China,Travel,Word of mouth,Opportunity for James1768,Value Proposition,New Business / Add-on
0012w00000LRfjmAAD,449660,2020-03-10,Over 201,Belgium,Entertainment,Trade Show,Opportunity for Diaz177,Needs Analysis,New Business
0012w00000LRfuxAAD,2129900,2020-03-10,Over 201,Austria,Entertainment,Word of mouth,Opportunity for Medina1876,Closed Lost,Existing Business
0012w00000LRfoVAAT,2714200,2020-03-11,0-25,United Arab Emirates,Manufacturing,Employee Referral,Opportunity for Bush1960,Closed Lost,New Business
0012w00000LRfixAAD,2859100,2020-03-11,Over 201,Russia,Computer Software,Word of mouth,Opportunity for Blair183,Needs Analysis,New Business
0012w00000LRfk0AAD,2345840,2020-03-11,Over 201,China,Consumer Goods,Public Relations,Opportunity for Harper1957,Value Proposition,New Business
0012w00000LRfsaAAD,3440,2020-03-11,0-25,Canada,Consumer Goods,Partner,Opportunity for Perez1775,Closed Won,New Business
0012w00000LRfsvAAD,259500,2020-03-11,Over 201,Belarus,Construction,Advertisement,Opportunity for Kim733,Closed Lost,New Business
0012w00000LRfiKAAT,470298,2020-03-11,Over 201,China,Consumer Goods,Word of mouth,Opportunity for Shaw178,Negotiation/Review,New Business
0012w00000LRfp2AAD,283466,2020-03-11,0-25,Australia,Health Care,Employee Referral,Opportunity for Lane561,Closed Won,Existing Business
0012w00000LRflrAAD,60160,2020-03-12,0-25,United States of America,Construction,Seminar - Internal,Opportunity for Murphy1963,Value Proposition,New Business
0012w00000LRftIAAT,345554,2020-03-12,26-200,Brazil,Consumer Goods,Trade Show,Opportunity for Floyd923,Closed Won,New Business / Add-on
0012w00000LRfpbAAD,8577295,2020-03-12,0-25,United Arab Emirates,Consumer Goods,Web,Opportunity for Stone1959,Closed Won,New Business / Add-on
0012w00000LRfpnAAD,1386250,2020-03-12,0-25,Israel,Manufacturing,Word of mouth,Opportunity for Abbott636,Closed Won,New Business
0012w00000LRfn1AAD,835870,2020-03-12,26-200,Brazil,Travel,Partner,Opportunity for Curry734,Closed Won,New Business / Add-on
0012w00000LRftzAAD,1046380,2020-03-12,Over 201,United Arab Emirates,Entertainment,Word of mouth,Opportunity for Lambert182,Needs Analysis,New Business / Add-on
0012w00000LRfvHAAT,238018,2020-03-12,Over 201,Canada,Entertainment,Advertisement,Opportunity for Barber186,Needs Analysis,New Business
0012w00000LRfrUAAT,40380,2020-03-13,0-25,Israel,Entertainment,Word of mouth,Opportunity for Rogers193,Qualification,New Business / Add-on
0012w00000LRfjDAAT,5198280,2020-03-13,Over 201,India,Computer Software,Employee Referral,Opportunity for Carson1966,Prospecting,New Business
0012w00000LRfoVAAT,266400,2020-03-13,0-25,United States of America,Manufacturing,Employee Referral,Opportunity for Bush1960,Closed Lost,New Business
0012w00000LRfgCAAT,1738370,2020-03-13,Over 201,Belgium,Computer Software,Trade Show,Opportunity for Rowe925,Qualification,New Business / Add-on
0012w00000LRfmtAAD,3057500,2020-03-13,0-25,Belgium,Manufacturing,Employee Referral,Opportunity for Garner740,Closed Won,New Business / Add-on
0012w00000LRfixAAD,58840,2020-03-13,Over 201,United States of America,Computer Software,Word of mouth,Opportunity for Blair183,Needs Analysis,New Business
0012w00000LRftDAAT,2208300,2020-03-13,Over 201,Israel,Health Care,Trade Show,Opportunity for Jefferson638,Closed Won,New Business / Add-on
0012w00000LRfpWAAT,15760,2020-03-14,Over 201,The United Kingdom,Construction,Trade Show,Opportunity for Bowen1968,Needs Analysis,New Business
0012w00000LRflrAAD,809810,2020-03-14,0-25,India,Construction,Seminar - Internal,Opportunity for Murphy1963,Value Proposition,New Business
0012w00000LRfjVAAT,1755000,2020-03-14,0-25,China,Consumer Goods,Advertisement,Opportunity for Page927,Prospecting,Existing Business
0012w00000LRfvHAAT,965700,2020-03-14,Over 201,India,Construction,Advertisement,Opportunity for Barber186,Closed Won,New Business
0012w00000LRfpgAAD,121490,2020-03-14,0-25,Canada,Computer Software,Web,Opportunity for Byrd640,Closed Lost,New Business
0012w00000LRfhVAAT,15637,2020-03-14,0-25,China,Health Care,Public Relations,Opportunity for Watts745,Closed Won,New Business / Add-on
0012w00000LRfrVAAT,155600,2020-03-14,26-200,Australia,Health Care,Trade Show,Opportunity for Frazier196,Closed Won,New Business / Add-on
0012w00000LRfreAAD,676500,2020-03-15,Over 201,Austria,Manufacturing,Public Relations,Opportunity for Phelps203,Closed Won,New Business
0012w00000LRfiEAAT,1756800,2020-03-15,26-200,Russia,Entertainment,Word of mouth,Opportunity for Nguyen1971,Qualification,New Business / Add-on
0012w00000LRfjDAAT,209104,2020-03-15,Over 201,The United Kingdom,Computer Software,Employee Referral,Opportunity for Carson1966,Prospecting,New Business
0012w00000LRfprAAD,431073,2020-03-15,Over 201,United Arab Emirates,Consumer Goods,Web,Opportunity for Hicks930,Closed Won,New Business / Add-on
0012w00000LRfi6AAD,75289,2020-03-15,Over 201,United Arab Emirates,Entertainment,Word of mouth,Opportunity for Freeman746,Needs Analysis,New Business
0012w00000LRfrUAAT,3077200,2020-03-15,0-25,The United Kingdom,Entertainment,Word of mouth,Opportunity for Rogers193,Qualification,New Business / Add-on
0012w00000LRfgUAAT,719960,2020-03-15,Over 201,Belgium,Travel,Advertisement,Opportunity for Carson641,Closed Lost,Existing Business
0012w00000LRfsIAAT,1411200,2020-03-16,0-25,Belarus,Manufacturing,Word of mouth,Opportunity for Phelps205,Closed Won,Existing Business
0012w00000LRfpWAAT,582035,2020-03-16,Over 201,Russia,Construction,Trade Show,Opportunity for Bowen1968,Needs Analysis,New Business
0012w00000LRfhnAAD,274656,2020-03-16,Over 201,United States of America,Manufacturing,Advertisement,Opportunity for Farmer932,Closed Won,New Business
0012w00000LRfjZAAT,110986,2020-03-16,Over 201,Belarus,Travel,Trade Show,Opportunity for Malone1973,Closed Lost,New Business / Add-on
0012w00000LRfsbAAD,499928,2020-03-16,26-200,Australia,Entertainment,Seminar - Internal,Opportunity for Figueroa642,Closed Lost,New Business
0012w00000LRfhsAAD,679555,2020-03-16,26-200,United States of America,Entertainment,Advertisement,Opportunity for Hopkins747,Closed Lost,New Business
0012w00000LRfrVAAT,284678,2020-03-16,26-200,Russia,Health Care,Trade Show,Opportunity for Frazier196,Closed Won,New Business / Add-on
0012w00000LRfl4AAD,218798,2020-03-17,26-200,Brazil,Manufacturing,Word of mouth,Opportunity for Morton406,Closed Won,New Business / Add-on
0012w00000LRfuKAAT,179964,2020-03-17,0-25,Canada,Entertainment,Partner,Opportunity for Glover1974,Qualification,Existing Business
0012w00000LRfnsAAD,2942705,2020-03-17,0-25,Belgium,Construction,Partner,Opportunity for Burton933,Closed Won,New Business / Add-on
0012w00000LRfiEAAT,18960,2020-03-17,26-200,Canada,Entertainment,Word of mouth,Opportunity for Nguyen1971,Qualification,New Business / Add-on
0012w00000LRfvXAAT,376955,2020-03-17,26-200,Austria,Travel,Seminar - Internal,Opportunity for Jensen643,Closed Won,New Business
0012w00000LRfqSAAT,138690,2020-03-17,Over 201,India,Construction,Employee Referral,Opportunity for Clayton750,Closed Won,Existing Business
0012w00000LRfreAAD,207240,2020-03-17,Over 201,Canada,Manufacturing,Public Relations,Opportunity for Phelps203,Closed Won,New Business
0012w00000LRfs7AAD,520500,2020-03-18,0-25,China,Manufacturing,Word of mouth,Opportunity for Mack935,Closed Won,New Business
0012w00000LRfjZAAT,1573350,2020-03-18,Over 201,Israel,Travel,Trade Show,Opportunity for Malone1973,Closed Won,New Business / Add-on
0012w00000LRflYAAT,701400,2020-03-18,26-200,Belarus,Entertainment,Advertisement,Opportunity for Frazier644,Needs Analysis,New Business / Add-on
0012w00000LRfr8AAD,2171760,2020-03-18,Over 201,The United Kingdom,Manufacturing,Partner,Opportunity for Andrews1118,Closed Won,New Business
0012w00000LRfsIAAT,470865,2020-03-18,0-25,Israel,Manufacturing,Word of mouth,Opportunity for Phelps205,Closed Won,Existing Business
0012w00000LRftHAAT,411166,2020-03-18,0-25,Belgium,Entertainment,Partner,Opportunity for Porter410,Prospecting,Existing Business
0012w00000LRfgaAAD,1876750,2020-03-18,0-25,Israel,Entertainment,Seminar - Internal,Opportunity for Santiago1975,Closed Lost,New Business
0012w00000LRfssAAD,591520,2020-03-19,26-200,China,Manufacturing,Web,Opportunity for McKenzie412,Closed Won,New Business / Add-on
0012w00000LRfs8AAD,2925000,2020-03-19,26-200,Australia,Travel,Web,Opportunity for Tucker470,Perception Analysis,Existing Business
0012w00000LRfp6AAD,2182350,2020-03-19,Over 201,United Arab Emirates,Construction,Employee Referral,Opportunity for Jefferson936,Closed Won,New Business
0012w00000LRfuKAAT,1318960,2020-03-19,0-25,Australia,Entertainment,Partner,Opportunity for Glover1974,Qualification,Existing Business
0012w00000LRfl4AAD,1417400,2020-03-19,26-200,Australia,Manufacturing,Word of mouth,Opportunity for Morton406,Closed Won,New Business / Add-on
0012w00000LRfovAAD,333830,2020-03-19,26-200,Israel,Computer Software,Trade Show,Opportunity for Estrada1122,Closed Lost,New Business
0012w00000LRfnGAAT,898800,2020-03-19,0-25,Brazil,Entertainment,Employee Referral,Opportunity for Barrett645,Closed Lost,New Business / Add-on
0012w00000LRfvAAAT,710500,2020-03-20,Over 201,Austria,Construction,Public Relations,Opportunity for Norman472,Closed Won,New Business
0012w00000LRfgnAAD,466560,2020-03-20,0-25,Brazil,Computer Software,Partner,Opportunity for Clark413,Closed Lost,New Business
0012w00000LRflrAAD,1528750,2020-03-20,0-25,Belgium,Construction,Trade Show,Opportunity for Bowen646,Qualification,New Business
0012w00000LRfgGAAT,1455310,2020-03-20,0-25,Russia,Computer Software,Trade Show,Opportunity for Miles1126,Closed Lost,New Business
0012w00000LRftHAAT,1417400,2020-03-20,0-25,Austria,Construction,Partner,Opportunity for Porter410,Closed Won,Existing Business
0012w00000LRftjAAD,82925,2020-03-20,Over 201,United States of America,Entertainment,Advertisement,Opportunity for Wong939,Closed Lost,Existing Business
0012w00000LRfgaAAD,3039400,2020-03-20,0-25,Austria,Entertainment,Seminar - Internal,Opportunity for Santiago1975,Closed Lost,New Business
0012w00000LRfvWAAT,142400,2020-03-21,0-25,United Arab Emirates,Manufacturing,Employee Referral,Opportunity for Abbott414,Closed Won,New Business
0012w00000LRfo3AAD,623750,2020-03-21,Over 201,Belarus,Manufacturing,Trade Show,Opportunity for Harrison476,Closed Won,New Business
0012w00000LRfvOAAT,193500,2020-03-21,Over 201,India,Construction,Trade Show,Opportunity for Cruz1306,Closed Won,New Business / Add-on
0012w00000LRfs8AAD,1595250,2020-03-21,26-200,Belarus,Travel,Web,Opportunity for Tucker470,Perception Analysis,Existing Business
0012w00000LRflHAAT,2221650,2020-03-21,26-200,China,Computer Software,Trade Show,Opportunity for Ruiz650,Closed Lost,New Business / Add-on
0012w00000LRfriAAD,2623525,2020-03-21,26-200,Canada,Consumer Goods,Advertisement,Opportunity for Alvarado1128,Perception Analysis,New Business / Add-on
0012w00000LRfssAAD,1488450,2020-03-21,26-200,Belarus,Manufacturing,Web,Opportunity for McKenzie412,Closed Won,New Business / Add-on
0012w00000LRfvuAAD,70368,2020-03-22,26-200,Brazil,Construction,Employee Referral,Opportunity for Stokes477,Perception Analysis,New Business
0012w00000LRfvAAAT,1148850,2020-03-22,Over 201,Brazil,Construction,Public Relations,Opportunity for Norman472,Closed Won,New Business
0012w00000LRfrJAAT,1158700,2020-03-22,0-25,United Arab Emirates,Computer Software,Public Relations,Opportunity for Blair652,Needs Analysis,New Business / Add-on
0012w00000LRfmyAAD,278337,2020-03-22,26-200,Israel,Entertainment,Employee Referral,Opportunity for Wilkins1129,Value Proposition,New Business / Add-on
0012w00000LRfgnAAD,136800,2020-03-22,0-25,Brazil,Computer Software,Partner,Opportunity for Clark413,Value Proposition,New Business
0012w00000LRfv9AAD,1313950,2020-03-22,26-200,Austria,Computer Software,Word of mouth,Opportunity for Johnson1307,Closed Lost,Existing Business
0012w00000LRfuxAAD,254886,2020-03-22,Over 201,United States of America,Entertainment,Trade Show,Opportunity for West206,Closed Lost,New Business
0012w00000LRfrbAAD,646400,2020-03-23,Over 201,Belgium,Travel,Trade Show,Opportunity for Henry479,Closed Won,New Business
0012w00000LRfhEAAT,23642,2020-03-23,Over 201,The United Kingdom,Construction,Advertisement,Opportunity for Pittman1309,Closed Won,Existing Business
0012w00000LRfo3AAD,788800,2020-03-23,Over 201,Belgium,Manufacturing,Trade Show,Opportunity for Harrison476,Closed Won,New Business
0012w00000LRfioAAD,209640,2020-03-23,26-200,United States of America,Manufacturing,Word of mouth,Opportunity for Norman655,Closed Won,New Business / Add-on
0012w00000LRfq1AAD,208375,2020-03-23,26-200,Australia,Manufacturing,Seminar - Internal,Opportunity for Harris1133,Closed Won,New Business / Add-on
0012w00000LRfvWAAT,991350,2020-03-23,0-25,Belgium,Manufacturing,Employee Referral,Opportunity for Abbott414,Closed Won,New Business
0012w00000LRfgWAAT,980500,2020-03-23,0-25,India,Entertainment,Partner,Opportunity for Horton207,Closed Lost,New Business
0012w00000LRfvWAAT,11883,2020-03-24,0-25,The United Kingdom,Manufacturing,Partner,Opportunity for Huff45,Closed Lost,New Business
0012w00000LRfk7AAD,5880,2020-03-24,Over 201,China,Travel,Partner,Opportunity for Shaw480,Closed Won,New Business
0012w00000LRfvuAAD,88200,2020-03-24,26-200,China,Construction,Employee Referral,Opportunity for Stokes477,Perception Analysis,New Business
0012w00000LRfnZAAT,476918,2020-03-24,0-25,Austria,Construction,Partner,Opportunity for Moran1134,Qualification,Existing Business
0012w00000LRfsKAAT,363453,2020-03-24,26-200,Belarus,Computer Software,Web,Opportunity for Gutierrez1322,Prospecting,Existing Business
0012w00000LRfpTAAT,965425,2020-03-24,26-200,India,Entertainment,Trade Show,Opportunity for Bridges657,Closed Lost,New Business
0012w00000LRfuxAAD,1683185,2020-03-24,Over 201,China,Entertainment,Trade Show,Opportunity for West206,Closed Lost,New Business
0012w00000LRfjYAAT,77270,2020-03-25,Over 201,Russia,Manufacturing,Word of mouth,Opportunity for Johnston49,Closed Lost,Existing Business
0012w00000LRfpaAAD,152400,2020-03-25,0-25,United Arab Emirates,Construction,Advertisement,Opportunity for Silva482,Closed Won,New Business
0012w00000LRfnkAAD,577250,2020-03-25,26-200,Russia,Construction,Employee Referral,Opportunity for Patterson1324,Closed Won,New Business / Add-on
0012w00000LRfrbAAD,390885,2020-03-25,Over 201,United Arab Emirates,Travel,Trade Show,Opportunity for Henry479,Closed Won,New Business
0012w00000LRfhgAAD,499450,2020-03-25,26-200,Belarus,Manufacturing,Trade Show,Opportunity for Howell1136,Closed Lost,New Business
0012w00000LRfgWAAT,875880,2020-03-25,0-25,United Arab Emirates,Construction,Partner,Opportunity for Horton207,Closed Won,New Business
0012w00000LRfhUAAT,809000,2020-03-25,0-25,The United Kingdom,Entertainment,Partner,Opportunity for Willis1022,Closed Lost,Existing Business
0012w00000LRfpxAAD,902400,2020-03-26,Over 201,United States of America,Construction,Web,Opportunity for Pittman483,Closed Won,Existing Business
0012w00000LRfk7AAD,112725,2020-03-26,Over 201,United States of America,Travel,Partner,Opportunity for Shaw480,Closed Won,New Business
0012w00000LRfiHAAT,1314400,2020-03-26,26-200,Russia,Travel,Partner,Opportunity for Santiago1026,Qualification,New Business / Add-on
0012w00000LRfvWAAT,54090,2020-03-26,0-25,United States of America,Manufacturing,Partner,Opportunity for Huff45,Closed Lost,New Business
0012w00000LRfpwAAD,214100,2020-03-26,Over 201,Russia,Computer Software,Partner,Opportunity for Blair1326,Prospecting,New Business / Add-on
0012w00000LRfiaAAD,857500,2020-03-26,26-200,Canada,Entertainment,Word of mouth,Opportunity for Potter50,Negotiation/Review,New Business
0012w00000LRfnvAAD,1630580,2020-03-26,Over 201,The United Kingdom,Health Care,Public Relations,Opportunity for Obrien1138,Closed Won,New Business
0012w00000LRfhdAAD,365072,2020-03-27,26-200,India,Consumer Goods,Partner,Opportunity for Sanchez828,Qualification,New Business
0012w00000LRfsUAAT,786875,2020-03-27,0-25,Canada,Entertainment,Advertisement,Opportunity for Flores1679,Closed Lost,New Business / Add-on
0012w00000LRfpaAAD,431194,2020-03-27,0-25,India,Construction,Advertisement,Opportunity for Silva482,Closed Won,New Business
0012w00000LRftUAAT,296805,2020-03-27,0-25,Canada,Consumer Goods,Employee Referral,Opportunity for Walton1035,Closed Won,New Business
0012w00000LRfnbAAD,87409,2020-03-27,26-200,Brazil,Travel,Trade Show,Opportunity for Young1496,Value Proposition,Existing Business
0012w00000LRfjYAAT,252545,2020-03-27,Over 201,India,Manufacturing,Word of mouth,Opportunity for Johnston49,Closed Lost,Existing Business
0012w00000LRfuQAAT,353136,2020-03-27,26-200,Israel,Entertainment,Word of mouth,Opportunity for Jordan57,Needs Analysis,New Business / Add-on
